Q53 AKT74 A8 QJ4|AJ984 J8 QT6 K98|KT2 Q95 K754 T52|76 632 J932 A763
KJ85 K2 QT7 AK94|T3 AT84 A986 865|AQ72 Q763 K54 T2|964 J95 J32 QJ73
AQT9 Q87 AK73 53|863 A95432 QJ J6|K52 J6 T64 KT842|J74 KT 9852 AQ97
KQ92 JT AQJ4 Q73|8643 A985 986 A8|AT7 KQ63 753 954|J5 742 KT2 KJT62
AT6 987 A85 AK94|K932 54 K732 JT6|J875 AQ632 Q6 82|Q4 KJT JT94 Q753
AK53 A95 9652 A2|JT42 K43 KJT8 J8|Q6 J8 Q74 QT9764|987 QT762 A3 K53
A6 QJ6 AQ98 Q975|KQT8 T83 KT73 J4|J93 K72 64 KT863|7542 A954 J52 A2
KJ84 AK2 94 A543|T975 76 652 J982|Q6 JT954 QJ73 K7|A32 Q83 AKT8 QT6
KT32 KJ9 K4 AQ73|A8764 AT85 Q97 4|Q95 Q7632 A53 K2|J 4 JT862 JT9865
Q6 AJT AT94 KQ84|AJ985 53 KJ8 AT2|KT KQ98642 62 96|7432 7 Q753 J753
A4 AJ4 QJ96 AJ65|JT5 Q72 AT32 843|K762 KT5 8754 Q7|Q983 9863 K KT92
QT7 QJ763 AQJ A4|J8654 AT9 8 KQT3|K93 K852 K543 52|A2 4 T9762 J9876
AKQ QJ532 93 AT8|J832 K84 A76 J96|T97 A96 842 K743|654 T7 KQJT5 Q52
AQ3 KQ72 82 AT72|J652 98 K3 KQ986|T98 T43 AQJT54 J|K74 AJ65 976 543
KQ4 AKT3 J865 KJ|AT97 9 AQT92 T98|32 Q87642 K4 A75|J865 J5 73 Q6432
AT5 AK53 QT32 K7|Q96 J942 K984 A3|J87 Q87 A65 JT95|K432 T6 J7 Q8642
AJ86 KJT4 KJ5 A6|T54 85 A932 JT74|Q32 AQ96 64 K953|K97 732 QT87 Q82
9765 J8 KJT AKQJ|Q42 K7532 74 987|A8 QT6 Q9653 643|KJT3 A94 A82 T52
AKQ7 J76 KJ QT74|T854 982 954 A62|J3 K543 AT63 J98|962 AQT Q872 K53
93 A63 AQ72 AKT4|KT84 7 T6 Q87653|A52 K84 J98543 2|QJ76 QJT952 K J9
AQ5 AK73 Q3 T974|KT764 52 A965 82|J3 JT84 T842 KQ3|982 Q96 KJ7 AJ65
A2 AQ4 KQ875 J53|K73 986 JT43 K94|QJT864 JT732 A 7|95 K5 962 AQT862
AK87 J86 QJ3 A73|53 Q752 A75 9642|JT42 A94 K QJT85|Q96 KT3 T98642 K
Q8762 AK2 K32 AJ|KT5 T753 QJ4 Q42|AJ9 J6 AT65 T986|43 Q984 987 K753
KQ5 AJT97 AT3 J8|T764 Q86 J6 QT64|A932 543 Q742 A5|J8 K2 K985 K9732
Q84 A3 AKJ73 J73|A65 KQ9 654 KQT6|J93 T864 QT2 A92|KT72 J752 98 854
K7 Q83 AKQ82 K94|AQ43 AT97 T4 732|J6 K6542 763 QJT|T9852 J J95 A865
AK32 J2 J962 AQ5|J86 K74 KT8 7642|T754 QT3 AQ KT83|Q9 A9865 7543 J9
87 AK4 AQ84 K974|T4 T85 KJT72 A32|AQJ3 Q7632 96 86|K9652 J9 53 QJT5
AJT6 A82 A98 K97|Q52 T965 J53 843|K873 Q KQ6 JT652|94 KJ743 T742 AQ
J762 A8 AK86 AT9|T85 73 T74 QJ543|Q943 QJ2 Q953 K2|AK KT9654 J2 876
AQ98 A764 Q3 KT9|K2 KJ952 T962 86|43 Q8 J754 AQJ72|JT765 T3 AK8 543
J962 AQ8 A7 AQ73|AQT74 75 KT96 K6|K8 KT632 J543 92|53 J94 Q82 JT854
AK983 KQ2 Q6 JT9|754 J9 975 AQ654|Q6 A874 JT83 732|JT2 T653 AK42 K8
K43 A97 K92 AJ86|T5 Q6543 AJ3 Q32|AQJ87 J8 T765 T5|962 KT2 Q84 K974
94 AKJ65 KJ2 A52|KQ T84 9643 Q987|T762 32 AT85 KT3|AJ853 Q97 Q7 J64
AKQ63 T2 A94 KT4|94 AKQ86 JT652 6|875 J7 8 AQJ9532|JT2 9543 KQ73 87
AK74 Q83 Q65 A43|965 KJ962 JT7 T2|Q83 754 K4 Q8765|JT2 AT A9832 KJ9
AQ532 K7 A76 Q95|84 T98432 Q52 J4|T76 65 KT4 AKT86|KJ9 AQJ J983 732
KT92 AK86 K7 A72|A J754 JT863 965|J854 T932 A94 K8|Q763 Q Q52 QJT43
K75 AKT87 A5 QT8|AQT863 5 K43 A73|J94 J92 Q92 K642|2 Q643 JT876 J95
AQ42 AK7 632 AT9|KJ976 J84 A K732|83 Q52 K95 QJ864|T5 T963 QJT874 5
K8 A963 KJ6 A983|762 K872 AQ83 QT|AQT T5 T94 K7652|J9543 QJ4 752 J4
T6 A53 AJ62 AK43|Q8432 64 Q83 872|KJ75 Q972 K7 Q96|A9 KJT8 T954 JT5
AK43 KT8 AJ86 JT|J5 642 Q9752 AQ2|987 AJ9753 K3 K8|QT62 Q T4 976543
Q74 Q8 KJ6 AK642|KJT65 43 T2 T985|A83 K62 9853 QJ7|92 AJT975 AQ74 3
Q72 AK8 J987 AJ4|KT64 97432 K3 Q9|A983 QJ5 652 753|J5 T6 AQT4 KT862
Q74 AT5 AK972 QT|J965 Q43 T5 AK98|KT3 KJ92 QJ J654|A82 876 8643 732
AQJ Q3 KJT5 QT83|43 AJ9652 Q843 4|852 KT74  AK9762|KT976 8 A9762 J5
A8532 K82 A4 A94|97 AJ6 JT953 QT6|KQJT6 QT9 K7 875|4 7543 Q862 KJ32
T5 AQ43 K65 AQ42|AQ86 76 Q7 97653|J942 KJ85 J92 K8|K73 T92 AT843 JT
AT62 T9 AT8 AK76|8543 A6 KJ93 982|QJ KQJ875 54 J53|K97 432 Q762 QT4
A8532 AT A84 K87|J K87642 K93 Q62|KQT97 Q53 QT76 4|64 J9 J52 AJT953
84 AT42 KQ73 AQ8|KJ975 8 A942 T53|Q6 K3 T85 K97642|AT32 QJ9765 J6 J
KQJ2 K93 KQ2 QJ6|AT8653  AJT543 7|4 AQJ64 987 KT93|97 T8752 6 A8542
K97 JT AKT AJT62|QJ8 AK8 9842 K54|AT643 Q43 QJ75 7|52 97652 63 Q983
AQ83 K2 J943 AQ8|962 AQ5 K875 962|KJ54 9843 A62 75|T7 JT76 QT KJT43
K8653 Q5 K95 AKT|QJ7 AK74 Q4 Q843|AT 2 AJT876 J765|942 JT9863 32 92
AQ 953 AQ654 KT6|T96 KQ87 KT9 987|532 AT42 J872 Q4|KJ874 J6 3 AJ532
97 AQ5 KQ84 AJ72|QT65 J9873 6 K53|KJ4 62 AJT5 T986|A832 KT4 9732 Q4
AQ9 AK7 K8753 T5|72 8543 62 J8764|KT6543 JT96 9 K3|J8 Q2 AQJT4 AQ92
AQ3 AJT5 AT6 JT7|T962 962 K875 KQ|J8 Q874 3 A98654|K754 K3 QJ942 32
K975 KQ98 AQ4 J4|Q832 632 873 AK7|AJ JT75 K92 Q962|T64 A4 JT65 T853
J75 Q9 AKQ52 KT5|A3 K873 76 J8632|KQ8642 AT52 J3 9|T9 J64 T984 AQ74
AJT6 KQJ2 954 AQ|KQ72 97 QJ73 K93|85 A84 KT86 J875|943 T653 A2 T642
AJ63 AQ74 JT9 A7|K875 J9832 854 Q|T KT65 AK T85432|Q942  Q7632 KJ96
T7 AKT4 A987 KQ6|Q98543 9 J3 9754|A6 J8752 Q54 AT2|KJ2 Q63 KT62 J83
KQ852 A8 J85 AQ7|JT974 J5 A4 K832|6 K62 KQ9762 JT5|A3 QT9743 T3 964
AQ6 QJT6 KQ82 QJ|J73 873 T5 AT984|985 K954 AJ76 K3|KT42 A2 943 7652
A74 A652 K7 AJ76|T653 7 Q98532 Q2|KJ92 Q84 A6 T984|Q8 KJT93 JT4 K53
AJ83 K76 A6 A975|T65 A942 Q874 K8|K4 Q3 KT932 QJT3|Q972 JT85 J5 642
762 AT65 K7 AKJ3|84 KJ742 432 982|KQJ Q983 JT86 76|AT953  AQ95 QT54
A94 AQ95 KQ52 Q8|KJ73 J64 J9 T653|Q862 87 T7643 AK|T5 KT32 A8 J9742
842 K942 AKT6 AK|63 Q3 Q732 JT985|QJT9 AJ85 J5 642|AK75 T76 984 Q73
QJ6 KJ92 KT9 AJ7|94 T743 AQJ876 9|AT82 85 42 KQT83|K753 AQ6 53 6542
K9 AQ6 AJ95 K754|T42 53 Q76 A9863|A3 J98742 KT82 2|QJ8765 KT 43 QJT
Q752 AQJ Q7 AQ75|AKT43 T85 T8 JT9|J986 74 A942 K82| K9632 KJ653 643
AT9 KT Q64 KQJ82|K7542 J975 J8 T9|QJ863 A62 KT7 43| Q843 A9532 A765
A9 AK9 QT932 AT4|J762 72 A854 873|T3 JT84 KJ6 QJ52|KQ854 Q653 7 K96
AJ6 KQ2 J532 KQ9|Q4 J976 T764 T63|T32 843 AQ9 A752|K9875 AT5 K8 J84
A965 AK7 K87 Q63|K8 J983 QT932 KT|QJ3 T52 AJ5 9754|T742 Q64 64 AJ82
Q92 AJ AJ86 K643|T875 K973 T QT97|AK4 T5 K97532 J8|J63 Q8642 Q4 A52
AT KT8 KT43 AQT4|8543 9743 A862 8|KQ62 652 Q7 KJ96|J97 AQJ J95 7532
KJ4 KQJ96 A74 K2|87 AT3 QJ3 J8654|T96 7542 K8652 A|AQ532 8 T9 QT973
K2 A76 AQ95 QJT8|864 8432 J76 K63|QJ97 QJ5 K84 752|AT53 KT9 T32 A94
JT2 K86 A6 AK874|876 9543 K98 QJ2|AK54 QJ7 T75 T95|Q93 AT2 QJ432 63
Q87 A8 AKQ5 QT95|JT43 J765 T4 J82|A62 QT92 92 A743|K95 K43 J8763 K6
A3 Q863 AT4 AQ74|JT52 AJ942 J5 J9|Q4 K5 K8632 KT53|K9876 T7 Q97 862
A9 T75 AK53 AJ86|K653 Q86 T86 T72|QT87 KJ2 J4 K943|J42 A943 Q972 Q5
J5 KQ8 AKJ83 K65|742 T7432 5 QT72|AQ963 AJ 962 843|KT8 965 QT74 AJ9
Q843 AKT7 76 AQ2|JT652  KQ83 T954|A97 J643 A2 8763|K Q9852 JT954 KJ
Q8 AKQ8 K53 K973|73 JT53 A4 AT842|AKJ96542 976 7 Q|T 42 QJT9862 J65
A72 QJ54 AJ43 A5|KJT93 98 Q982 KJ|Q85 K76 K76 T732|64 AT32 T5 Q9864
8543 K62 AK AQT4|AT62 J94 Q65 J92|KJ Q85 JT872 863|Q97 AT73 943 K75
K943 AK4 QT5 A72|AQ876 8 K6 98643|T5 QJ932 A32 KJT|J2 T765 J9874 Q5
QJ4 K8 J93 AKJ72|AK932 AQ32 T T95|75 654 KQ754 Q86|T86 JT97 A862 43
KJ 754 AK76 KQ85|A53 K86 43 AT974|Q9742 A93 QJ5 J6|T86 QJT2 T982 32
AQ973 AK9 QJ9 J8|4 Q763 542 T7652|J6 J84 KT63 KQ93|KT852 T52 A87 A4
K87 AT73 AT3 KJ2|JT9532 984 65 73|Q64 Q2 KQ742 QT6|A KJ65 J98 A9854
A943 KQ2 KT84 A5|QT876 T3 53 J842|J2 AJ865 972 K73|K5 974 AQJ6 QT96
T85 AKJ2 AKQ8 94|AQ3 QT653 94 AQJ|KJ72  JT753 K753|964 9874 62 T862
AT7 653 KJT7 AK5|QJ6432 92 A2 J98|K5 QJ Q9863 Q643|98 AKT874 54 T72
K8 AKQ3 J652 Q32|QJ7 T9864 T97 94|943 J7 K843 AT87|AT652 52 AQ KJ65
KQ53 KQ9 A986 K6|AJ8 T5 Q732 A842|T764 A643 4 QJ97|92 J872 KJT5 T53
K3 J652 A74 AK97|Q42 AQ8 KT65 632|AJ75 43 J982 Q85|T986 KT97 Q3 JT4
AK72 KQ4 K42 Q95|QJT96 865 T6 J72|854 JT92 A9 KT86|3 A73 QJ8753 A43
KT5 QJ3 AK53 K65|A982 75 6 AQ9842|64 KT964 QJT4 J3|QJ73 A82 9872 T7
A87 JT AQ95 AQ42|QJ9 Q872 K73 KT9|K643 K963 86 J53|T52 A54 JT42 876
KJ3 T4 A983 AKJ4|8 A9652 Q T98732|AQT654 Q873 52 5|972 KJ KJT764 Q6
AJ7 AKJ6 Q5 J932|KT85 QT2 K7 AT85|Q632 93 AT98 K74|94 8754 J6432 Q6
AT AJ52 J974 AQ3|K765 3 AQT8 T764|QJ8 T964 63 KJ85|9432 KQ87 K52 92
AT KT7 T853 AKJ8|K876 AQ2 Q QT762|52 95 AKJ9642 53|QJ943 J8643 7 94
KQJ7 K753 J8 AQJ|86 AJ8 A9432 942|A952 Q6 KT765 T6|T43 T942 Q K8753
KT763 QJ8 KQ3 KQ|954 K76 76 A7642|A2 AT943 T954 J3|QJ8 52 AJ82 T985
A876 AT AK54 Q74|J42 87652 Q2 K85|KT3 Q94 JT7 AJ96|Q95 KJ3 9863 T32
KJ6 AT72 J3 AKJ9|AQ73 Q83  QT8632|T8 KJ65 KT98752 |9542 94 AQ64 754
K98 AT985 K5 AQ8|T76 642 AJ96 932|J42 KJ QT32 KT65|AQ53 Q73 874 J74
J864 KQ3 A8 AK75|AKT J4 KQJT32 82|975 AT65 654 QJ4|Q32 9872 97 T963
AQ8 72 AJ82 KJ97|KJ6 KQT64 K75 62|T2 AJ985 T64 Q43|97543 3 Q93 AT85
9532 K2 AKQ2 KJ3|6 T864 64 A96542|AKQT87 9753 T98 |J4 AQJ J753 QT87
A52 52 AK73 KJT8|J98 A74 J842 A52|KT7 QJ863 QT Q73|Q643 KT9 965 964
J2 Q42 AQT8 AKJ3|T74 K973 9753 92|KQ93 AJT8 J4 T87|A865 65 K62 Q654
A7 QJT4 AK76 J74|J8654 7653 Q3 A9|KT93 K82 82 KT32|Q2 A9 JT954 Q865
KQ4 KT7 K65 AQT7|J9763 A642 AT4 2|85 QJ98 J983 K85|AT2 53 Q72 J9643
A84 AQT3 A62 K97|952 K85 KJT43 A6|KQT6 J942 Q5 Q53|J73 76 987 JT842
K86 QJ2 AQ75 K62|AT54 AT4 K4 7543|Q3 K875 JT932 Q9|J972 963 86 AJT8
K5 KJ72 KT72 AJ8|AT932 T94 J85 Q4|QJ86 53 AQ9 T975|74 AQ86 643 K632
AQ87 87 AT73 AQT|K95 AJ95 2 98652|T 32 KJ964 KJ743|J6432 KQT64 Q85 
AQ2 AKQ9 86 9432|97653 J3 KJ9743 |K8 62 T2 AKJT876|JT4 T8754 AQ5 Q5
A84 AT42 Q3 KQ32|KJ5 J5 J74 J8765|T973 K AT9862 A4|Q62 Q98763 K5 T9
AK JT74 A976 KT7|Q964 A52 543 963|T8532 KQ83 Q8 A5|J7 96 KJT2 QJ842
KQ42 KQ9 K73 Q75|853 A32 QT82 J62|AJT6 JT64 J54 T9|97 875 A96 AK843
K9 AJ85 QT8 AQ87|J4 T AK976432 93|AQ73 Q632 J5 T52|T8652 K974  KJ64
AQT9 AQ64 J72 K9|764 JT853 A9 T82|J52 K2 854 AQ754|K83 97 KQT63 J63
KQT65 AQ5 A82 Q3|J JT872 Q743 T62|9873 K64 T9 AJ94|A42 93 KJ65 K875
Q2 K63 JT976 AKQ|KJ8754 J2 A8 J95|A63 Q87 Q32 T742|T9 AT954 K54 863
AT AJ82 K42 KT86|K986 Q76 JT63 53|753 T53 A5 AQ742|QJ42 K94 Q987 J9
K84 AQ94 KQ3 K63|T63 K3 986 QJT52|75 8652 AT72 A98|AQJ92 JT7 J54 74
32 AJT AK54 A652|KQJ84 K943 92 T9|AT6 Q852 Q6 QJ74|975 76 JT873 K83
T96 AQ96 KQ54 KJ|A42 T8732 73 953|J3 J54 AJT986 62|KQ875 K 2 AQT874
K52 AKJ4 Q9 KT84|A976 T75 KT8 963|J3 863 AJ653 J52|QT84 Q92 742 AQ7
JT9 AT AQ953 A76|AQ8 Q 874 KJ9542|K654 KJ8632  QT8|732 9754 KJT62 3
A4 AK763 984 A82|9753 J854  Q9764|QJ8 T92 QJT2 JT5|KT62 Q AK7653 K3
AKQ62 Q32 K5 QJ2|T983 AKJT98 T T3|J754 75 QJ96 AK9| 64 A87432 87654
KQJT4 AT A62 QJT|7 J742 K97 87542|6532 K8653 Q A63|A98 Q9 JT8543 K9
A972 AQ6 J96 A95|QJT86 9872 73 72| J43 Q8542 KQ864|K543 KT5 AKT JT3
97 AQT63 KQ2 AQ7|864 875 J9843 T5|KJT3 K42 5 K9843|AQ52 J9 AT76 J62
AJ92 KQ7 K76 A32|QT76 AT94 A KQT4|K43 J32 QJ984 98|85 865 T532 J765
A73 T5 AQT87 AK6|KT42 A63 K65 JT5|9 KQ9742 J9 Q843|QJ865 J8 432 972
K82 A6 KT53 KQ73|Q976 94 A742 AJ4|A43 KQ2 98 98652|JT5 JT8753 QJ6 T
KT7 A63 AKT95 QJ|86 87 Q432 AT874|AJ432 Q94 87 952|Q95 KJT52 J6 K63
A63 A95 A652 KJT|JT85 T7 K4 Q9764|KQ74 QJ32 QJ73 5|92 K864 T98 A832
KQ6 J73 KJ8 AK62|AJT854 92 T5 Q97|32 QT6 AQ943 T83|97 AK854 762 J54
AK62 K62 J43 AT2|JT9753 JT9 8 974|Q8 Q8754 AT QJ65|4 A3 KQ97652 K83
T93 K3 AK4 KQT87|875 A98 J9832 J3|K42 7642 T76 A94|AQJ6 QJT5 Q5 652
Q872 AJ7 AKQ3 T7|JT943 KT95 T97 2|K65 82 854 AQ865|A Q643 J62 KJ943
K92 AQJ86 KJ2 KT|QT53 53 87653 32|J84 K974 A94 J96|A76 T2 QT AQ8754
AK83 J53 986 AKQ|QJ9654 K4 5 9542|T7 Q7 AKQT743 83|2 AT9862 J2 JT76
AQJ83 764 A93 AQ|942 JT9 K874 K97|KT65 Q32 JT6 JT2|7 AK85 Q52 86543
AQ93 AJ8 653 A83|JT875 972 AJ QJ7|64 KQT64 K9842 K|K2 53 QT7 T96542
A963 K2 KQJ A976|KJ A865 A8653 T5|T7 JT93 97 KQJ83|Q8542 Q74 T42 42
AQ86 Q5 KQ3 AT85|9 KJT98743 5 Q93|K754 6 T872 KJ76|JT32 A2 AJ964 42
QT7 AK54 AKT6 T4|AK42  J9874 AQJ8|983 Q983 Q5 K732|J65 JT762 32 965
AQ AJ4 T92 KQJT5|K82 KT9732 AK8 9|JT74 8 Q753 A432|9653 Q65 J64 876
K76 A8653 AK8 J5|J95 KJT2  AKT942|AT8432 Q QT73 Q7|Q 974 J96542 863
KQ3 QT6 AK4 KT85|A7 J9872 T7 J632|JT A53 86532 AQ7|986542 K4 QJ9 94
A742 J6 KT72 AK8|Q AT92 Q943 Q974|JT9 KQ7 A5 J6532|K8653 8543 J86 T
T93 A3 AT73 AK54|KQJ854 K954 52 6|A6 6 Q984 QT9873|72 QJT872 KJ6 J2
A72 AQT9 K943 Q2|J93 53 J7 AKT965|KQT84 K762 QT8 4|65 J84 A652 J873
A95 KJ3 Q742 AK8|643 85 T986 Q964|KT82 QT742 A5 J7|QJ7 A96 KJ3 T532
AK2 AK65 93 QT84|J53 2 QJ876 K972|QT64 J93 T5 AJ53|987 QT874 AK42 6
AK943 974 K3 KQ3|Q8 AKQ86 AT76 T5|JT76 JT32 Q A964|52 5 J98542 J872
AQ9 T5 AJ95 AT86|KJ42 A84 T4 Q752|T653 J93 KQ8 K43|87 KQ762 7632 J9
AJ93 K75 K9 A842|T642 AT984 A62 6|K QJ32 JT74 KJ75|Q875 6 Q853 QT93
AKQ2 T5 A976 KT9|75 KQ986 KJ32 62|J843 A732 Q54 54|T96 J4 T8 AQJ873
974 A4 A872 AKJT|K3 KQT53 K4 9832|AQ8 J862 T93 Q74|JT652 97 QJ65 65
AQ4 AQJ64 K86 JT|653 2 QJT5 A7532|KJ982 T93 2 K986|T7 K875 A9743 Q4
AKJ AJ JT42 J965|T85 K8432 Q9 K84|9742 QT AK865 32|Q63 9765 73 AQT7
Q54 AQ753 A96 A8|T983 KJT96 T32 J|AJ76 8 KJ75 QT52|K2 42 Q84 K97643
A63 AK94 KT96 Q5|K84 7532 AQ52 82|J95 QJT 874 AK74|QT72 86 J3 JT963
AT93 KJ A87 QJ52|2 T65 KQ96 A8763|K84 A87432 J54 9|QJ765 Q9 T32 KT4
QJ5 A32 K8 AQ653|AK976 Q A976 982|T843 KJT84 T5 KT|2 9765 QJ432 J74
T2 AKJ42 A65 A92|AJ653 7 92 T8753|K4 QT9 QJT874 64|Q987 8653 K3 KQJ
A2 AKQ4 J854 KT6|J9765 T KQ63 742|KT3 63 T92 AQJ98|Q84 J98752 A7 53
AQ92 KT8 KQ96 K6|64 A9542 753 T93|KT853 J7 AJ84 J4|J7 Q63 T2 AQ8752
KT7 AK743 J95 A5|A986 T K43 K9873|QJ3 Q92 AQT6 T42|542 J865 872 QJ6
AKJT5 Q73 85 AK8|Q32 K92 Q92 Q432|74 A864 AK64 T96|986 JT5 JT73 J75
AT96 Q8 A82 AK74|Q832 JT9 KT76 T5|K4 AK7643 943 82|J75 52 QJ5 QJ963
AK7 A6 QJT2 Q863|Q53 8743 A763 J7|42 Q52 54 AKT942|JT986 KJT9 K98 5
AJ76 A972 Q93 A6|K543 Q KJ854 J53|Q KT864 AT6 T842|T982 J53 72 KQ97
AK985 AQ4 T63 K9|J2 K932 Q75 Q543|Q63 JT876 K4 A82|T74 5 AJ982 JT76
AQ92 J643 J97 AK|T643 92 853 T964|J875 AQT QT Q832|K K875 AK642 J75
KT87 AK7 A84 J74|J943 QJ6 K532 95|A2 932 QJT97 862|Q65 T854 6 AKQT3
A2 AKT K972 K985|J7 954 AQ85 J763|KQ5 Q873 T64 AT4|T98643 J62 J3 Q2
Q5 KQJT K72 KJT7|T74 98 J864 A932|986 5432 AQ53 Q8|AKJ32 A76 T9 654
97 A97 A987 AKT4|JT854 K3 QJ5 865|AQ T842 642 QJ93|K632 QJ65 KT3 72
K54 63 AT4 AKJ32| AJT8 KJ98532 84|T62 KQ7542 Q Q97|AQJ9873 9 76 T65
AK8 A976 KJ74 83|T742 J83 T6 AJ72|QJ63 KT5 Q8 QT54|95 Q42 A9532 K96
Q4 A543 KQ8 AQ94|AT2 KQ72 5 KJ762|K86 J96 AJ73 T53|J9753 T8 T9642 8
KT3 A93 AKQ T843|AQ82 872 3 KQJ92|6 KQJ6 T9854 A75|J9754 T54 J762 6
JT96 A9 AT5 AQ32|5 KJT7654 QJ64 8| Q32 K9832 KJ975|AKQ87432 8 7 T64
652 AQT95 K6 AQ9|AT9 KJ32 QJT 765| 864 A8543 KJT84|KQJ8743 7 972 32
A7 AT5 AJ964 AT2|92 KJ82 KQ83 KJ3|KT863 Q43 T Q874|QJ54 976 752 965
A83 KT6 AKJ73 T5|KT42 QJ54 T8 963|QJ7 A8732 654 QJ|965 9 Q92 AK8742
AJ97 QT AJ5 KQ97|K6 642 QT64 AJT4|542 AK9753 K72 6|QT83 J8 983 8532
T4 AT986 AKQ KJ9|J963 QJ3 J63 Q43|K85 742 9752 A65|AQ72 K5 T84 T872
KQ9 AQ9 K54 K532|532 K83 T8763 T7|AJ87 642 J92 A84|T64 JT75 AQ QJ96
K983 Q864 AK KQ8|542 K95 QT93 J96|QJT7 AT7 72 7543|A6 J32 J8654 AT2
A764 AJ AJT K862|Q32 854 KQ642 Q7|J85 KQT63 5 AJ43|KT9 972 9873 T95
Q3 KJ3 Q53 AKJT4|842 AT97652 A4 9|JT965 Q84 KJT82 |AK7  976 Q876532
AK4 A987 AQ6 962|QT5 J3 92 AK8743|J973 KQ54 T83 J5|862 T62 KJ754 QT
J94 AQJ6 K3 A862|73 T953 A82 QT43|KT52 K72 QJT5 95|AQ86 84 9764 KJ7
KQ4 QJ5 AQ876 K8|J T984 K532 J642|AT986 K2 9 QT973|7532 A763 JT4 A5
Q3 AK3 QJT8 QJ97|AJ765 Q5 A754 86|42 98764 K96 AK2|KT98 JT2 32 T543
AJT86 Q5 A76 KJ5|32 KJT86 T93 AQ6|754 A94 K52 8732|KQ9 732 QJ84 T94
KQ63 KT8 53 AK75|A75 Q754 Q94 QJ4|T98 AJ63 A7 T932|J42 92 KJT862 86
Q84 KT42 QJ85 AK|A Q75 AK92 86532|7652 AJ63 43 Q94|KJT93 98 T76 JT7
A92 AQ6 A732 KT7|8 954 J654 Q9842|T765 732 KQT98 A|KQJ43 KJT8  J653
QT9 KQJ KQJ8 KT7|J84 A8542 95 J32|K7652 T7 A74 654|A3 963 T632 AQ98
KJ4 A64 AK86 J96|A862 K3 T9 KQ543|QT9 Q752 QJ532 7|753 JT98 74 AT82
JT982 AKJ K5 K74|7 QT72 AQ86 8632|KQ654 864 T AJT5|A3 953 J97432 Q9
A52 AKJ5 A754 J2|K964 8432 K62 A8|Q873 QT976  KQ65|JT  QJT983 T9743
AJ8 AK875 82 A62|72 942 973 K8543|Q94 JT6 AQT5 JT7|KT653 Q3 KJ64 Q9
KT985 AK4 Q3 K96|Q3 T8732 AT2 J42|J6 Q65 986 AT873|A742 J9 KJ754 Q5
QJ AJT KQJ8 K632|KT 983 7543 AQJ7|A852 K7652 2 T54|97643 Q4 AT96 98
AJT QJ KQ832 K73|832 A76543 T JT6|KQ975 T92 94 Q98|64 K8 AJ765 A542
AK2 A5 AJT83 J53|JT94 T9872 K62 T|Q763 64 Q94 AQ76|85 KQJ3 75 K9842
K4 Q532 AK4 K865|QT3 J964 83 T974|AJ852 AT J965 J2|976 K87 QT72 AQ3
QJ62 AQ95 KJT A5|98 J643 9762 Q74|7543 KT82 Q85 K8|AKT 7 A43 JT9632
94 KT92 AQ5 KQJ2|86 QJ64 T974 654|K72 A875 J632 T9|AQJT53 3 K8 A873
Q74 AT AJ974 AT4|J932 J8 86 KJ987|AKT85 Q942 52 Q3|6 K7653 KQT3 652
Q653 KQJ5 KQ7 Q3|KJ82 873 T952 72|97 T942 A43 AJT4|AT4 A6 J86 K9865
KQ43 A54 AK52 T3| KT9876 Q63 KJ74|AT8765 3 J97 Q95|J92 QJ2 T84 A862
AK86 AT2 T95 A92|Q732 7 AK76 QJ73|T9 KQ865 QJ842 K|J54 J943 3 T8654
J63 KQJ6 Q9 AK98|KQ4 AT92 865 QT5|A9872 7 AJT42 74|T5 8543 K73 J632
AT75 QT9 AQ9 A73|Q9 7 J8642 QJ862|KJ4 A85432 T3 95|8632 KJ6 K75 KT4
AT84 K96 Q43 AKJ|K3 J2 K862 T8754|QJ9752 QT5 5 Q32|6 A8743 AJT97 96
AKJ J73 AT6 QT75|983 T5 Q732 K864|752 K642 K4 AJ92|QT64 AQ98 J985 3
JT2 Q3 AKJ75 A94|A T984 Q632 K853|KQ6 J652 9 QJT62|987543 AK7 T84 7
K86 A43 AT A7643|Q5 J95 QJ94 KQT5|AJ97 7 K7653 J98|T432 KQT862 82 2
Q9 KQ86 J53 AKJ5|7643 97 8742 832|KJT85 J542  QT76|A2 AT3 AKQT96 94
Q53 A7 QJ962 AK9|A942 K543 74 T73|K876 QJ86 T3 QJ8|JT T92 AK85 6542
Q7542 AK5 Q8 A64|J86 T98 T6 KQJ75|AKT3 Q4 J953 T32|9 J7632 AK742 98
A83 AJT76 A3 A76|KQJT972  KT742 9|6 Q9 QJ965 KQJT5|54 K85432 8 8432
AQJ KJ9 J43 K986|T42 A8 T98752 Q3|985 QT63 Q6 AJ42|K763 7542 AK T75
AQT76 Q96 A42 K4|84 A52 KQ987 AT3|K953 K3 JT53 982|J2 JT874 6 QJ765
AK74 A984 Q7 A92|53 653 952 KQ765|QT98 QJT2 KJ84 J|J62 K7 AT63 T843
Q76 A954 AQ7 AJ9|K KJ8 T964 QT872|AJ432 T632 J8 K3|T985 Q7 K532 654
AJT5 AJ96 86 KQJ|9876 KQ8 AK52 83|K2 543 74 A97642|Q43 T72 QJT93 T5
T98 AKT 82 AKQ96|K3 J9743 AK9543 |AQJ75 Q8 Q76 T43|642 652 JT J8752
