K643 AKJ J94 KQ3|JT2 85 KT75 T875|AQ5 Q9632 Q832 A|987 T74 A6 J9642
K82 AJ8 T53 AKQ6|QJ53 QT7542 J T2|AT4 6 AK742 J873|976 K93 Q986 954
KT5 A63 K52 AK32|Q42 QT987 AJ984 |AJ KJ542 QT7 T98|98763  63 QJ7654
KQJ63 T8 K42 AQ3|A842 752 AT63 T2|T5 AK93 J75 KJ84|97 QJ64 Q98 9765
AT8 K875 AKT J82|7652 AJT 9432 T3|KQJ4 9643 65 KQ4|93 Q2 QJ87 A9765
AK7 AQJT7 52 J42|QT53 643 J94 A83|642 52 AKQT6 Q97|J98 K98 873 KT65
QJ76 A76 Q5 KQJ8|K9 T8543 T864 53|AT82 J9 AK7 AT72|543 KQ2 J932 964
983 A6 A932 AQJ5|QJT7642 KT8 JT 8|A 43 KQ875 K7643|K5 QJ9752 64 T92
Q8 A52 AKQ54 862|AK7 QT843 7 T954|62 J97 JT63 AKQ3|JT9543 K6 982 J7
K7 AKT62 KQ9 J73|83 8 JT75432 Q86|AQ652 73 86 AKT2|JT94 QJ954 A 954
AJ7 AQ86 K954 K4|62 T732 732 9876|K95 J95 AQJ Q532|QT843 K4 T86 AJT
Q8 K82 A72 AQ842|JT3 74 JT9643 K5|A964 AQ93 5 JT73|K752 JT65 KQ8 96
K3 KJ52 A853 KQ8|QJT9 T9  AJT9543|742 AQ8 KQT72 72|A865 7643 J964 6
AQJ6 8752 AQ A73|T7 43 KJ87652 64|K982 AJ6 T93 QJ8|543 KQT9 4 KT952
T32 AK4 AKJT7 T3|AK8 53 Q42 K7652|QJ97 JT8 93 AQJ4|654 Q9762 865 98
KQ AQJT7 KQ8 742|642 K9542 9432 K|A753 6 JT AQJ985|JT98 83 A765 T63
K432 AJ6 AT KQT5|AJ87 KT732 92 J9|QT5 Q94 KJ3 A632|96 85 Q87654 874
KQ84 Q64 KT9 AQ2|65 J7532 32 9743|AJT3 T A7 KJT865|972 AK98 QJ8654 
AJ982 AQJ KJ4 52|K7 KT74 Q875 864| 96532 AT9 AKQJ9|QT6543 8 632 T73
KT3 AQ3 KT9 AJ85|QJ986 864 A53 T4|A42 K97 QJ764 Q3|75 JT52 82 K9762
AT7 KQJ9 AQ4 943|642 2 K98532 752|QJ983 AT3 JT6 KQ|K5 87654 7 AJT86
AQT3 KQ2 Q863 K4|95 A853 AJT952 8|K8 T76 K4 AJT953|J7642 J94 7 Q762
54 AKQ8 T84 AQ87|72 7643 Q753 KT2|KQJT3 J9 AKJ2 J3|A986 T52 96 9654
AK2 AK9 JT94 643|8753 T653  K9872|QJ9 QJ42 AK85 A5|T64 87 Q7632 QJT
KJ Q8732 QJ4 AK9|AT52 65 K8753 64|Q9643 AK A96 Q32|87 JT94 T2 JT875
KQ KQ876 KT4 A82|T53 T J8753 Q943|AJ9764 A93 Q2 K7|82 J542 A96 JT65
AQ4 AJ8 K9752 K8|JT763 43 Q6 QJ32|K98 KT72 AJ3 AT4|52 Q965 T84 9765
Q42 Q93 A2 AK942|K8 KT765 J64 JT7|A963 AJ82 Q5 Q65|JT75 4 KT9873 83
A87 AK6 KJ843 86|932 85 QT62 AQJ4|KQJT6 QT43 95 K3|54 J972 A7 T9752
KJ2 AKT62 Q73 KJ|3 J9853 J64 8654|A Q4 AT9852 AQ73|QT987654 7 K T92
AKJ74 K87 J94 A2|QT3 T432 Q762 T9|2 AQ5 AK85 Q7543|9865 J96 T3 KJ86
KJ8 KQ AK43 T853|7 96543 QJ92 K97|AQT542 82 T8 AQ2|963 AJT7 765 J64
KJT3 AJ9 K64 KJ7|Q82 T7652 JT52 A|754 K3 AQ873 Q84|A96 Q84 9 T96532
Q972 AQT3 AK5 J9|KT J98542 T84 64|843 K76 Q73 AK87|AJ65  J962 QT532
AJ864 AJ4 Q5 A93|QT973 753 872 KT|K KQ9862 KJ J842|52 T AT9643 Q765
KJT AQT7 AQ7 954|96 J4 T96532 KQJ|43 K852 KJ8 AT87|AQ8752 963 4 632
AJ KT82 A832 QJ8|KT852 4 KJ74 K64|9 AQ97653 Q6 AT9|Q7643 J T95 7532
A3 AK85 K94 Q952|T98765 92 75 K63|KQJ2 7 AQJT J874|4 QJT643 8632 AT
QT83 K87 A3 AQ82|954 J652 Q KT963|AKJ762 AT94 J7 J| Q3 KT986542 754
K63 Q64 Q93 AKJ7|Q7 A9852 K2 T943|JT82 KT AJ54 Q52|A954 J73 T876 86
KQ3 K96 AK2 J842|JT954 54 87 T976|A6 AQ73 Q6543 Q5|872 JT82 JT9 AK3
853 KQ4 AJ74 KQ4|KT4 976532 K63 2|AQ972 AJT 2 A863|J6 8 QT985 JT975
KJT93 KT5 K6 AJ7|A642 Q9874  9842|Q875 AJ3 A42 T65| 62 QJT98753 KQ3
64 K84 AKQ8 KQ65|KJ98732 T T52 J8|Q A9762 J964 A97|AT5 QJ53 73 T432
K2 J64 A542 AQJ2|Q8 T953 T86 9763|96543 K2 KQ7 KT5|AJT7 AQ87 J93 84
A8 AQT6 Q965 A73|63 J82 832 Q9542|KQ54 4 KJ7 KJT86|JT972 K9753 AT4 
KT543 Q74 K52 AK|J98 T9 QJ764 T97|A2 A82 AT3 QJ653|Q76 KJ653 98 842
K9 A54 KJT87 A85|87643 96 6 J9732|AQT JT72 A93 QT4|J52 KQ83 Q542 K6
A4 K752 AT8 KQJ8|Q982 JT43 976 A2|K753 A86 KQ43 43|JT6 Q9 J52 T9765
QJ96 AJ7 KT7 AT6|T743 T85 A3 J875|K852 K4 J542 KQ3|A Q9632 Q986 942
KQ9 A864 KQ8 J94|83 953 965 AT876|A42 KQJ72 42 Q52|JT765 T AJT73 K3
AT A72 AQT43 J83|8752 K8 987 K974|J Q9654 KJ65 AT2|KQ9643 JT3 2 Q65
AQ863 AK T95 Q72|97 QT9843 AJ4 T3|K2 J2 Q832 AK654|JT54 765 K76 J98
K54 A653 A63 A74|9873 KT87 982 Q2|AQJ 9 KJ5 KJT853|T62 QJ42 QT74 96
QJ2 AJ32 Q2 AQ32|T97 Q5 AKJ96 974|AK43 K97 T853 JT|865 T864 74 K865
AK7 762 KQ7 KJ87|985 KQ985 T9853 |Q32 AT AJ2 T9643|JT64 J43 64 AQ52
T6 AQ5 KJ86 KQ64|KQ72 T7 Q97 7532|AJ9843 K82 AT JT|5 J9643 5432 A98
AKQT9 AQ9 Q4 T76|3 KJ42 T652 K953|J876 5 A973 AQ84|542 T8763 KJ8 J2
A74 AQT42 64 AJ5|QT85 K8765 Q 963|J32 J AK7 KQT742|K96 93 JT98532 8
QJ73 K73 AKQ8 T8|K64 AQT52 72 Q32|AT 6 J9543 AKJ76|9852 J984 T6 954
QJ5 K76 AKT9 A74|T98 JT J75 T9863|AK432 A95 843 Q5|76 Q8432 Q62 KJ2
AJ2 Q52 AJT4 K32|743 986 KQ95 Q85|K6 AJT 62 AJT764|QT985 K743 873 9
A54 AT732 K9 A83|K3 J8 J8632 J952|T6 KQ64 AQ75 KT4|QJ9872 95 T4 Q76
Q9 K9643 K64 AK4|KT843 7 J873 953|J62 AJ82 AT QJT8|A75 QT5 Q952 762
KJ73 KQ3 K54 KT3|652 T542 A7 Q972|T98 AJ86 QT98 A5|AQ4 97 J632 J864
AJ85 QT KQ6 K732|K942 A74 T5 QT94|Q3 K983 AJ982 J5|T76 J652 743 A86
KT5 KJ5 AJ75 KJT|832 QT763 KT93 7|AQ94 A2 Q862 Q93|J76 984 4 A86542
T8 A974 AQ9 AK74|Q754 K32 74 T965|AKJ32 QJ65 J2 83|96 T8 KT8653 QJ2
QJ9 AK9 KQ975 T4|A3 T85 3 KQ97532|T87 Q7643 A8 AJ8|K6542 J2 JT642 6
AK2 QJ8 J986 A76|Q7643 63 KT54 T3|J95 KT9 AQ Q9842|T8 A7542 732 KJ5
A3 K94 QT76 AKT7|964 T876 K954 42|Q2 J32 AJ32 QJ53|KJT875 AQ5 8 986
A42 542 A87 AQJ7|K53 J87 J63 K985|Q6 AKT96 KQ542 3|JT987 Q3 T9 T642
AKJ8 JT93 Q94 A3|T742 K65 852 764|Q6 Q7 KJ6 KQT985|953 A842 AT73 J2
AK5 98 K753 AK86|93 QT732 T QT532|QJ72 AKJ64 J864 |T864 5 AQ92 J974
K63 AQ85 J73 AJ2|92 JT732 T98 Q65|AQ754 K 6542 K73|JT8 964 AKQ T984
K63 KQJ9 AK4 832|A5 T8 QJT65 QJ54|QJ4 A65432 93 AT|T9872 7 872 K976
QT85 AT KQ8 AT83|AK J98 972 Q9654|632 KQ7432 AJ4 K|J974 65 T653 J72
K62 AKQT6 J3 K98|T73 9732 8 JT763|AJ98 8 AKQ642 42|Q54 J54 T975 AQ5
A82 AJ986 AJ J63|T96 K7532 T954 7|J73 Q K8762 KQT4|KQ54 T4 Q3 A9852
A42 AJ96 T2 AQT5|T975 KQ2 Q985 93|Q6 74 AK7643 K76|KJ83 T853 J J842
A42 AJ7 QT63 AT9|K753 K654 AJ95 8|QJT9 T2 K87 KQ52|86 Q983 42 J7643
J9752 A4 K73 AK9|T8 T83 AQT94 QJ8|AKQ4 KJ97 J52 T2|63 Q652 86 76543
AQ92 Q74 K652 KJ|K73 AK83 98 T643|86 T962 AJT7 AQ8|JT54 J5 Q43 9752
AQ73 T43 AK8 Q64|KJT86 J62 654 32|94 KQ85 QT7 KJ98|52 A97 J932 AT75
AKQ J65 K9864 K9|864 987 T732 854|J9753 AKQ42 J Q2|T2 T3 AQ5 AJT763
J98 AK62 AJ9 Q93|732 T3 765432 J5|AKQ5 95 KQ8 T764|T64 QJ874 T AK82
AJ8 K7432 Q7 AQ7|2 AQT5 J842 T865|KQ J96 KT653 KJ3|T976543 8 A9 942
A65 K643 976 AKQ|9432 8 532 J8754|KQT A972 AQJ4 T9|J87 QJT5 KT8 632
83 AK98 A875 A62|94 T642 QJ2 T975|AQ5 QJ5 K643 843|KJT762 73 T9 KQJ
QT973 KQ5 A4 AJ5|865 82 Q98763 42|AJ JT9764 K52 Q8|K42 A3 JT KT9763
AT92 K8 K985 AQJ|J7653 3 AQJ42 65|KQ8 AQJT75 7 K74|4 9642 T63 T9832
KQ8 QJ4 AK7 T532|T63 63 9832 Q974|A752 A85 QJ54 86|J94 KT972 T6 AKJ
A2 A8643 AT5 KQ3|T87 J75 J6 J8542|KQ95 Q92 Q9742 A|J643 KT K83 T976
AQ 932 AJ32 A754|J97642 AK T6 T32|K853 5 K98 KQ986|T QJT8764 Q754 J
AJ7 AQ3 QT62 KT3|K86 KT954 J9 852|Q93 J2 K53 AJ976|T542 876 A874 Q4
Q87 QT4 AKT6 AJ2|J92 985 832 K754|AT53 A76 Q74 QT9|K64 KJ32 J95 863
AJT65 K72 AT5 K9|93 AQ6 Q8632 653|KQ2 J43 KJ AJT72|874 T985 974 Q84
AQ97 652 AK94 Q7|T52 T98 72 JT932|KJ4 KQJ QJT 8654|863 A743 8653 AK
96 AK97 K53 AQJ4|KT87 J64 T987 98|AQ32 QT2 A642 53|J54 853 QJ KT762
KQ AT5 AQ72 Q943|842 KQJ T4 KJ865|AT7653 2 K963 A7|J9 987643 J85 T2
KT6 AJT83 K3 AJ6|QJ8 64 J74 KT942|A9753 KQ2 A8652 |42 975 QT9 Q8753
AK96 764 QJ95 KQ|T7543 J2 AT A842|QJ8 AK8 K42 J953|2 QT953 8763 T76
K985 K4 AK87 K84|QT6 T32 J654 QT2|42 AJ965 Q32 A63|AJ73 Q87 T9 J975
K832 AKJ2 KT Q43|J976 8765 75 K72|AT5 T93 AJ842 A5|Q4 Q4 Q963 JT986
Q72 AK84 QJ63 K3|K986 QJ3 8 A6542|AT T952 AK752 T8|J543 76 T94 QJ97
AKQ2 QJ7 T65 K96|J86 AK32 973 T43|T543 T8 KQJ AQJ7|97 9654 A842 852
T73 AT3 AQ5 AQJ4|Q54 Q9762 T4 T86|AK986 KJ8 J82 32|J2 54 K9763 K975
J53 AKQ2 K5 QT87|T84 843 QJ42 J65|AKQ76 65 A876 A9|92 JT97 T93 K432
AK82 J6 AQ4 JT96|T654 K953 93 Q54|3 A2 KJT762 A832|QJ97 QT874 85 K7
AQ5 K54 AK762 83|KT9643 9 T543 94|J QT83 J98 AKQ52|872 AJ762 Q JT76
AJ92 KQT4 J3 A32|653 5 AKT82 T854|K7 J987 Q65 KQ96|QT84 A632 974 J7
AQ87 J93 QJ63 AQ|KT65 T86 T954 T3|43 AKQ42 K87 854|J92 75 A2 KJ9762
AKQ5 A63 K752 87|T942 98 Q964 J53|J87 KQT42 AJ KT2|63 J75 T83 AQ964
AQ52 AQ6 Q973 KT|KT96 T4 J42 Q985|J83 KJ853 AKT 64|74 972 865 AJ732
KT92 653 AK AQ86|864 QJ98 J743 97|QJ53 A7 85 KJ543|A7 KT42 QT962 T2
Q93 AK7 K92 AJ95|J874 Q54 65 KQ62|A J963 AQT8 T873|KT652 T82 J743 4
K6 AQJT KQ43 Q96| 9643 T52 JT8542|AQJ9843 5 AJ986 |T752 K872 7 AK73
A94 AJ4 Q764 A76|T873 T3 AKJ3 T94|KQ52 KQ82 T8 KQ5|J6 9765 952 J832
KT8 A942 A93 KJ9|73 Q86 K5 AT8654|AJ2 K753 QJT642 |Q9654 JT 87 Q732
K842 A95 AK82 KT|T96 QT76 T964 94|AJ53 K82 J3 Q653|Q7 J43 Q75 AJ872
QJ84 KJ AK7 Q864|T65 Q62 T83 KT75|A72 AT QJ952 AJ9|K93 987543 64 32
AKQ A7542 953 QJ|9432 KQJ96 8 953|JT76  AQJT64 AKT|85 T83 K72 87642
A76 AJ6 Q97 KQ43|QT4 KT43 AJ854 6|K9852 Q9 K A8752|J3 8752 T632 JT9
AQ2 QT84 Q5 KQT3|J98764 5 J7642 6|K53 AKJ963 T9 A2|T 72 AK83 J98754
QT74 A64 A3 AKT6|986 K8 QT98762 7|AK52 QT72 K Q952|J3 J953 J54 J843
AJT3 A4 QT7 AQ72|92 T97 82 J98643|KQ74 KQ85 AK53 5|865 J632 J964 KT
KJ9 AQ86 JT53 KJ|Q74 KJ74 Q96 Q72|T32 953 AK7 AT93|A865 T2 842 8654
AJ65 KQJ J63 KT8|9432 A982 98 J53|K87 T6543 AKQ 96|QT 7 T7542 AQ742
KJ KT72 A975 AQ9|Q854 6 J86 KT764|9632 AQ5 KQ32 J8|AT7 J9843 T4 532
KQ AQJ4 J974 A72|J97 983 Q32 QT98|A6432 T72 AK5 53|T85 K65 T86 KJ64
754 A74 AQ65 AJ5|QJT2 KJ95 3 Q962|K96 Q6 KJT4 KT43|A83 T832 9872 87
AJT3 Q94 A6 AT86|Q95 K52 QT972 J9|K62 A863 KJ5 K53|874 JT7 843 Q742
A76 QJ7 KT KQ543|43 T652 J963 AT8|9 AK98 AQ8542 J7|KQJT852 43 7 962
A84 AT94 AQJ8 95|T2 Q32 K642 J432|KJ65 KJ 7 AKQ876|Q973 8765 T953 T
JT5 KJ AKT2 A653|Q9 Q965 9863 842|A62 T842 Q7 KQJ7|K8743 A73 J54 T9
AK2 76 A542 KJ86|987653 AT92 73 5|4 QJ4 KQJ9 A9743|QJT K853 T86 QT2
A86 KJ9 A762 K76|9 Q86542 Q95 AJ4|KQ542 AT3 JT3 Q5|JT73 7 K84 T9832
K2 AT98 A52 KJ74|T J632 KT643 T95|964 KQ4 Q87 A832|AQJ8753 75 J9 Q6
A643 AQJ9 A63 Q9|J5 T72 T975 T632|KQT9872 K64 K8 7| 853 QJ42 AKJ854
J76 AKQ94 K2 A64|94 T3 JT754 QT87|AKT 87 Q986 K532|Q8532 J652 A3 J9
KJT4 QJT3 A4 KJ7|A83 542 Q753 QT3|9752 K8 KJ6 A982|Q6 A976 T982 654
A62 K98 KQ87 AT2|854 JT62 53 K963|KQT7 A75 AT942 J|J93 Q43 J6 Q8754
AQT Q4 A872 AT54|K643 763 T964 Q8|J985 AK985 QJ 92|72 JT2 K53 KJ763
A7 AK864 AJ2 984|982 Q753 763 J73|QJ653 T QT8 AKT5|KT4 J92 K954 Q62
QJ73 A7 J975 AK3|AT 5432 32 JT954|K652 KJT98 Q4 Q6|984 Q6 AKT86 872
AQ32 AQ9 54 A753|T876 JT2 QT86 Q4|K4 K843 A93 KJ62|J95 765 KJ72 T98
KJ9 Q63 KQ9 AJ42|T4 AT2 A86432 QT|AQ8765 K4 J7 K63|32 J9875 T5 9875
K74 AKQ93 T3 QJ3|J8653 74 J76 K98|A2 JT82 K42 A654|QT9 65 AQ985 T72
AJ63 KQ98 Q72 K6|T85 AT54 965 J32|K42 762 AK84 A74|Q97 J3 JT3 QT985
AJ96 Q82 K52 AQ4|T8 KJ6543 A98 65|KQ3 AT QJ764 K82|7542 97 T3 JT973
KQ5 QT3 AQ2 K986|942 J75 JT94 J53|AT3 AK9842 3 QT2|J876 6 K8765 A74
AK98 KJT3 AT3 95|654 7654 7 Q8742|73 AQ KQJ542 AJ3|QJT2 982 986 KT6
98 A85 AQJ94 A65|T75 JT72 K865 43|KQ2 K964 T KQJ82|AJ643 Q3 732 T97
KQ82 A642 AK2 86|J QJ9875 T753 JT|975 K3 QJ8 AQ953|AT643 T 964 K742
KQ62 AQ8 J7 A972|T53 J97642 3 J54|J K53 KQT54 KQT8|A9874 T A9862 63
K963 AK6 J75 AT2|AQJ74 T853 K8 75|T Q92 A9632 KQ94|852 J74 QT4 J863
T92 AT AKT64 AJ5|8763 Q62 J52 962|AJ KJ98 Q873 QT3|KQ54 7543 9 K874
K76 AKQ96 Q5 JT3|AQ43 T874 JT76 2|T82 J5 A9 AK9854|J95 32 K8432 Q76
QT64 A843 K2 AQT|AJ3 J752 J975 72|K85 KT6 A KJ9843|972 Q9 QT8643 65
J43 T84 KQ5 AKQ6|T2 Q973 A76 T875|AK7 AKJ62 9843 3|Q9865 5 JT2 J942
Q984 AJ64 A5 AT3|762 QT752 J83 K2|KJ5 8 KQ7642 Q84|AT3 K93 T9 J9765
KQJ QT7 KQ942 QT|A9653 J9 J73 963|T AK82 AT5 J8752|8742 6543 86 AK4
J43 A8 KQ4 KQT32|95 K632 7632 J94|K8762 54 AJT9 A6|AQT QJT97 85 875
AT762 QT AJ6 A73|J94 A852 9854 T5|K85 KJ6 T2 KQ642|Q3 9743 KQ73 J98
KQ64 Q6 K86 AJ32|2 JT83 A973 T754|T93 AK94 QT54 Q6|AJ875 752 J2 K98
KQ6 K54 AQ3 QJT9|953 QJ9762 6 854|AT8 A KT9854 K72|J742 T83 J72 A63
T97 KQ87 AKQ2 K6|QJ4 AT94 JT5 954|AK5 J653 98 AQ82|8632 2 7643 JT73
AT54 KT AKT5 K94|J Q7632 8732 QT3|Q973 AJ85 Q AJ85|K862 94 J964 762
KQ A92 K632 QJ84| QJ83 QT95 T7652|AT76543 74 AJ7 A|J982 KT65 84 K93
A632 A972 J63 AQ|T4 3 KT842 T8652|KQJ QJ8654 Q7 94|9875 KT A95 KJ73
872 AK6 AQ3 A985|KJ543 J942 86 KJ|AQ T5 KT54 QT643|T96 Q873 J972 72
KQJT5 KQ6 A8 J72|92 982 KQT972 QT|A763 A5 J63 AK54|84 JT743 54 9863
AJT A654 AQ42 96| QJ7 K9765 K5432|Q87653 K JT AQT8|K942 T9832 83 J7
KQ864 AT5 K54 K8|75 Q974 T93 AJ72|JT93 K8 AJ87 QT3|A2 J632 Q62 9654
AK6 753 Q4 KQJ53|J4 QT9 K876 9742|75 AK864 AJ2 T86|QT9832 J2 T953 A
A6 KQ92 K963 K52|QT4 4 AJT75 JT97|J9852 AJ Q2 AQ64|K73 T87653 84 83
A5 AK863 973 AQ9|986 T74 Q5 K7632|KJ732 QJ2 AKT T4|QT4 95 J8642 J85
KQ86 K9 KQT6 A72|97 AQ4 A9742 J43|AJ54 J76 3 KQT86|T32 T8532 J85 95
AQJ7 Q87 QJ54 AT|T95 J532 AK2 986|K842 AKT94 T6 J3|63 6 9873 KQ7542
A4 A75 AJT85 Q94|8 T9632 Q973 J63|KJ97532 8 K A752|QT6 KQJ4 642 KT8
92 AJ76 KQJ3 KQ7|KJ8643 3 AT4 T83|AQ T54 9865 AJ92|T75 KQ982 72 654
KT4 AKJ65 A86 87|A9  JT952 J96532|Q53 QT987 Q74 KQ|J8762 432 K3 AT4
K974 AK Q96 KQ63|J86 J762 84 J542|Q3 QT983 AK52 A8|AT52 54 JT73 T97
JT62 AQJT 43 AK6| 987 Q9762 J9875|AKQ843 5 A8 QT43|975 K6432 KJT5 2
A8 QT94 KQ53 A76|KJT753 6 4 KJT32|64 AK7 AJ982 854|Q92 J8532 T76 Q9
Q4 KQ6 A8762 A82|AJT985 J9753 4 Q|76 AT KJ3 KT9765|K32 842 QT95 J43
QJ973 KT7 AK9 K9|8652 Q43 Q8 QJ75|AT4 A95 53 AT843|K J862 JT7642 62
KT8 Q2 QJ6 AQJ32|93 8654 AT93 965|AQ6 KJ3 K54 KT87|J7542 AT97 872 4
AQ63 AQT9 J9 K83|T98 73 K7543 QJ7|KJ52 K6 A862 A95|74 J8542 QT T642
53 AK32 Q63 KQJ4|KT9 QT K954 AT53|AQ842 4 AJ8 9876|J76 J98765 T72 2
AJ76 AKT3 KJ7 83|43 Q2 T43 AKJ652|K52 J85 AQ85 QT7|QT98 9764 962 94
AQ876 754 AJ4 KJ|K95 KJ92 853 A85|JT32 AQT8 Q2 QT7|4 63 KT976 96432
K432 AK86 AQ6 95|5 JT9 T954 KQJ82|A97 Q5 J73 AT763|QJT86 7432 K82 4
Q4 A75 AQ87 KT97|82 KQ96 KT32 852|AKT97653  J64 AJ|J JT8432 95 Q643
AK876 JT2 AJ4 A6|92 875 987632 J3|QJT AK943 T K852|543 Q6 KQ5 QT974
A532 QJ87 A72 AQ|86 KT6 QT5 98432|KJT4 9 KJ93 KT65|Q97 A5432 864 J7
A65 K82 AK982 K6|QJ3 94 J65 AT974|K7 AQJT765 Q3 J2|T9842 3 T74 Q853
K2 K8643 AT6 KQ4|QT9865 95 J985 8|AJ73 2 KQ72 J763|4 AQJT7 43 AT952
KQ3 KQ QT54 KJ93|9876 J97 6 QT854|T52 A32 A87 A762|AJ4 T8654 KJ932 
AQJT A6 QJ7 J872|762 KQJ83 AT5 65|95 T75 K AKQT943|K843 942 986432 
AQ93 QT94 AT7 A8|JT76 J732 84 Q32|K854 A85 Q965 K4|2 K6 KJ32 JT9765
AKQ87 Q85 A8 JT8|T964 J97 JT KQ32|J53 AK Q642 A964|2 T6432 K9753 75
984 A82 AT2 AK74|AJ2 9 J95 JT9852|K63 KQJ543 K76 6|QT75 T76 Q843 Q3
AK752 AQ7 Q53 43|9 J983 KT9 AJT75|QJT43 T62 AJ KQ6|86 K54 87642 982
AKJT KJ7 T2 KT75|932 93 J987 AQ64|87 AQ542 KQ654 J|Q654 T86 A3 9832
A9 K7652 Q65 AKJ|Q532 JT83 43 943|K74 A94 AT2 QT76|JT86 Q KJ987 852
AQ8 842 AK2 AT42|J762 QJT73 983 6|K93 AK5 QJ5 9875|T54 96 T764 KQJ3
K4 A32 AKT4 Q864|853 KQ765 5 9752|AQJT76 J4 876 AK|92 T98 QJ932 JT3
Q94 KT AJ83 KQT6|A8 63 Q9762 7532|J2 AQJ9742 KT54 |KT7653 85  AJ984
953 A63 QJT AKQJ|K4 KJ8542 63 T76|AQJ6 Q7 K972 842|T872 T9 A854 953
K987 A74 Q5 AQ94|T4 QT8653 T72 J2|AJ K92 KJ43 K763|Q6532 J A986 T85
KQJ4 A42 Q83 A65|T932 QT9 A42 743|A6 J53 KJT96 Q82|875 K876 75 KJT9
AT93 Q52 KJ3 AJ6|K8754 643 Q65 42|2 AJ7 A74 Q98753|QJ6 KT98 T982 KT
KQ5 KT642 KJ8 K3|T Q98 AT9654 T52|A62 AJ5 Q72 J764|J98743 73 3 AQ98
QJ85 KQT A85 A65|T972 J72 9 T9872|A6 A854 KQJT42 K|K43 963 763 QJ43
AQT8 AT86 K4 Q94|J9764 Q953 T8 T3|K KJ QJ7632 K865|532 742 A95 AJ72
AT6 43 AK86 KQ82|J4 8752 32 AT965|KQ3 AJT9 QT54 J4|98752 KQ6 J97 73
Q76 KT84 KJ72 AQ|K5 762 A943 T632|AJ83 AQJ953 5 54|T942  QT86 KJ987
AKQ4 K52 A75 743|J65 AT643 T4 JT9|9 QJ8 KJ9862 A82|T8732 97 Q3 KQ65
AK94 K92 AJ3 843|T73 Q643 9876 A6|Q52 A7 KT2 KJT92|J86 JT85 Q54 Q75
A96 AT32 QJT AT7|J 8765 9763 Q854|KQ72 QJ9 AK2 962|T8543 K4 854 KJ3
KJ8 AK2 AJ2 6543|T2 T9765 T86 J97|A97643 QJ3 74 A2|Q5 84 KQ953 KQT8
T2 AJ654 AQ8 A83|AQ87 8 642 KJT54|K64 KQT3 K953 Q9|J953 972 JT7 762
AKT3 84 A432 A32|Q97 Q97 T95 9864|J62 AKJT52 QJ QT|854 63 K876 KJ75
AT98 AQT2 J54 KQ|Q62 K9 832 JT943|K43 J8643 A97 A6|J75 75 KQT6 8752
AQJ72 A7 953 A95|T54 T932 6 JT643|K83 KQJ KQT42 87|96 8654 AJ87 KQ2
KQ95 QJ64 A94 A4|AT76 K5 KQ753 75|J4 A93 T62 KQJ92|832 T872 J8 T863
QJ632 AQ8 KT7 A7|K98 KT43 863 K96|A5 9765 AQJ4 JT5|T74 J2 952 Q8432
AK52 KQ62 A9 732|Q4 AJ83 Q87 QJ94|T863 974 KJ63 AK|J97 T5 T542 T865
AKQJ7 Q98 A83 JT|T85 7542 K5 K876|432 K3 QJT976 AQ|96 AJT6 42 95432
AT AQT9 AT2 QT85|Q765 765 63 J942|KJ82 KJ832 KJ5 A|943 4 Q9874 K763
AQ5 A876 KJ95 KT|K87 Q93 732 9642|J64 KT42 8 AQJ87|T932 J5 AQT64 53
T8 AKQ9 A43 QJT4|A5432 7653 Q6 53|QJ96 JT T5 AK987|K7 842 KJ9872 62
AQT6 J4 A53 KJT7|85 T875 J8742 A4|KJ9 AKQ962 6 Q95|7432 3 KQT9 8632
KQ864 AQJ T5 KJT|T52 K9732 Q76 Q5|A973 86 AJ8 A932|J T54 K9432 8764
T32 K72 AK73 AQT|KQ95 T853 92 983|A87 A6 J865 KJ54|J64 QJ94 QT4 762
AQ84 43 KQ8 A942|JT52 J972 AT T53|K763 AQT J952 K6|9 K865 7643 QJ87
KQ63 T52 A4 AK54|J92 A96 T96532 2|A8754 K7 KJ87 T3|T QJ843 Q QJ9876
AJ7 K5 QT62 AJ75|QT4 T942 AJ7 632|K92 AQ8 K984 KQ8|8653 J763 53 T94
AK873 K5 T53 KQ5|J952 T9643 Q9 T6|Q4 AQ72 AK872 J2|T6 J8 J64 A98743
KQ73 A9 AQ3 T432|AT82 QT732 J7 K6|5 K K98542 AQJ87|J964 J8654 T6 95
A63 82 AKJ42 AT6|972 J9764 93 Q83|QJ4 AT3 Q7 KJ952|KT85 KQ5 T865 74
K96 AJ987 AK7 JT|J5 652 JT4 K6532|AQ82 T3 82 AQ974|T743 KQ4 Q9653 8
A75 K64 AQT3 QJ9|J842 987 KJ954 5|K63 Q52 82 AKT72|QT9 AJT3 76 8643
AKQ 983 A876 KT9|JT43 T64 5 AQJ65|76 AKQ2 QT94 842|9852 J75 KJ32 73
A76 A6 AT987 K95|82 KT98752 5 A63|KQT5 Q3 KQJ3 QT4|J943 J4 642 J872
AKT2 K32 J873 AQ|J65 Q875 T92 852|74 AJT4 K54 KT97|Q983 96 AQ6 J643
AK876 94 A42 AJ4|T9 532 K8763 Q63|Q5432 AKQJT J9 K|J 876 QT5 T98752
Q5 AJ9 A973 AQ93|J4 T876 542 7652|T3 KQ2 KQJT JT84|AK98762 543 86 K
AK5 JT732 AQ J43|2 AQ65 JT842 Q65|QT84 98 K963 AK9|J9763 K4 75 T872
